perfil_id,fecha,numero,clase,lon,lat
5496,2011-01-01,Perfil 43,"",-59.340485,-30.700775
6130,0001-01-01,7/2947,"",-58.31998,-35.73356
3307,0001-01-01,3307,"Argialbol típico, arcillosa fina",-61.038611,-32.598611
7316,1970-09-15,27/430 C,"",-58.405642,-37.014748
4083,1962-07-01,4083,Endoacuol típico,-62.676472,-39.525694
3565,1993-10-21,III-1066C,"Torrifluvente típico, limosa gruesa, mixta, térmica",-66.970833,-32.475556
866,1966-11-07,12/791 C,Hapludol típico,-60.795604,-34.53593
1154,2014-05-19,C 09,"",-69.217194,-33.802333
2167,1981-01-30,STA 138,"Udipsamentes árgicos, arenosa, mixta ",-57.386978,-28.124866
5322,1999-11-15,RA,Criortente vitrándico,-72.933333,-49.166667
6725,1969-10-29,1/1056 C,"",-58.101011,-35.018088
3240,1981-11-11,E16,"Haplacuent aérico, arcillosa fina, montmorillonítica, hipertérmica",-59.099006,-25.797958
4399,1987-09-15,C III-936,"",-66.925556,-33.401944
4997,1983-07-09,C-430 RN,"",-67.1825,-39.563333
7472,1974-12-03,3/2396 C,"Chromuderte ácuico-sálico, franca fina",-56.825302,-36.698268
6807,1974-10-23,14/2825 C,"",-60.738415,-36.014582
7171,1971-02-25,7/1583 C,"",-60.13395,-36.692567
1031,2006-01-01,"",Torrifluventes tipico,-69.185142,-33.585227
3542,1983-05-17,CM 1,Argiudol Vértico,-59.709778,-29.126969
1868,2000-06-14,ER7-135C,Peluderte argiudólico,-58.764058,-31.550428
1298,1966-10-22,2/390 C,"",-59.271634,-34.803837
3034,1990-11-01,Perfil 51,Calciortide típico,-69.283333,-38.816667
2082,1970-11-12,C 11-2515,Duracuol nátrico. limosa fina. mixta. térmica,-62.7742,-32.3744
787,1965-11-22,2/200 C,"Brunizem - Argiudol típico, fina, illítica, térmica.",-59.399783,-34.569449
1255,1989-11-01,C - 22,Haplustol éntico,-62.654372,-38.8988
840,1966-10-12,11/826 C,Aluviales,-61.443595,-33.953175
7573,1969-12-15,24/126 C,"Argiudol ácuico, fina/franca fina",-58.176784,-36.921539
1407,2007-11-28,Obs. 21,Torripsament (?),-62.863611,-39.126944
3959,1959-03-11,605/58,"",-68.066667,-45.8
1586,1970-04-22,ER1-2C,Argiudol vértico,-60.54905,-31.831167
